5	TGD Number	City	State	Tweet URL	Video/Image Filename	Description
38	30	Minneapolis	MN	https://twitter.com/greg_doucette/status/1266958068807544839	Mpls-sJ9xKGiRgwkqh1dj.mp4	police in Minneapolis deliberately shoot at – and then arrest – a reporter as he's walking away and trying to comply with police orders to back up
39	31	Philadelphia	PA	https://twitter.com/UR_Ninja/status/1266913490301792257	Philadelphia-gplbCdQAoPP88-6q.mp4	hitting a reporter and trying to knock down their camera to block them from filming as officers dogpile an unarmed black man
40	32	Seattle	WA	https://twitter.com/greg_doucette/status/1267089884600315907	Seattle-4LpGiC0U_ImP50Bf.mp4	police pepper-spray a 10-year-old child for sport
41	33	Denver	CO	https://twitter.com/greg_doucette/status/1267092745828663297	Denver-t8XBw_DSmRsnq5Vz.mp4	police caught on camera pushing a reporter into an open fire
42	34	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267095100166987778	LosAngeles-fppbZKro3DwS9U6.mp4	LAPD tackling one unarmed protestor and indiscriminately beating others with their batons
43	35	Columbus	OH	https://twitter.com/greg_doucette/status/1267102580070592512	Columbus-PdtF9dBodZMaYhJO.mp4	pepper-spraying peaceful unarmed protestors as they sit on the ground
44	36	New York City	NY	https://twitter.com/HuffPost/status/1266936484692725766	NA	no video for this one, but NYPD arrested a reporter to stop him from covering the protests
45	37	New York City	NY	https://twitter.com/keithboykin/status/1266936136418701317	NA	another without video, but NYPD arrested another reported and kept him in jail for 6 hours
46	38	Chicago	IL	https://twitter.com/JCB_Journo/status/1266897672545480706	[can't download]	"reporter streaming live on Periscope, holds up his press pass and shouts ""PRESS!"" – so police pepper-spray him to stop him from broadcasting"
47	39	Los Angeles	CA	https://twitter.com/johncusack/status/1266953514242228229	LosAngeles-XHsFRHyQMF7ItGx-.mp4	police attack John Cusack for filming The 9th Circuit Court of Appeals was the first – in 1995, decades ago – that there's a First Amendment-guaranteed right to record public police activity
48	40	Dallas	TX	https://twitter.com/greg_doucette/status/1267109272342736896	NA	police shoot a totally innocent bystander – a woman walking home with her groceries – in the head for sport
49	41	Seattle	WA	https://twitter.com/greg_doucette/status/1267110620471664641	Seattle-Owz8u3yBlJ2PWo73.mp4	"police arrest a protestor using the same knee-on-neck technique used to murder #GeorgeFloyd Another protestor yells ""GET YOUR FUCKING KNEE OFF HIS NECK"" – at which point the *other* officer forcibly moves the first officer's leg"
50	42	Minneapolis	MN	https://twitter.com/UR_Ninja/status/1267074770576838658	Mpls-748eLW39TswM7wqw.mp4	"Minneapolis Police called our journalist the ""entire problem"" & threatened he ""would get baked"" as he filmed them at 31st & Blaisdell after curfew a block away from #GeorgeFloydProtests at the 5th Precinct."
51	43	Detroit	MI	https://twitter.com/jcreindl/status/1266925170192715782	Detroit-EZUFt8nXkAEVs-6.jpeg	police deliberately target a journalist with pepper-spray to prevent him from reporting
52	44	Cleveland	OH	https://twitter.com/greg_doucette/status/1267114065819770880	Cleveland-yKd3eeAYZv2ccYvT.mp4	police beating assorted protestors outside their justice building, including one officer swinging his baton in front of him back and forth like a f*cking moron
53	45	Erie	PA	https://twitter.com/greg_doucette/status/1267117854387814401	Erie-ZkG_vWhW7AwhU_xE.mp4	police pepper-spray a peaceful protestor, then kick her over for sport
54	46	Minneapolis	MN	https://twitter.com/greg_doucette/status/1267118696960528386	Mpls-aWSBDR-3CLJKM9NU.mp4	police shoot rubber bullets and teargas at a reporter and his crew, as they're broadcasting live on-air
55	47	Minneapolis	MN	https://twitter.com/greg_doucette/status/1267119659532378113	Mpls-3Xppomq6yWnzGiom.mp4	"police deliberately target a CBS crew, shooting the sound engineer with a rubber bullet ""They're sighting us in, dude!"" Notice the reporters are *nowhere near* any protestors or police"
56	48	New York City	NY	https://twitter.com/greg_doucette/status/1267121057066082304	NewYorkCity-qsFBtR9eYarOjvrS.mp4	an NYPD officer *removes the mask* from a peaceful protestor, so he could then mace him in the face
57	49	New York City	NY	https://twitter.com/greg_doucette/status/1267121762464083969	NewYorkCity-WERnyHPZwbdcx91p.mp4	NYPD (Lt? Sgt? White shirt) pins down a medic with his knee, as another officer tries to push back anyone attempting to record
58	50	Columbus	OH	https://twitter.com/greg_doucette/status/1267122343454953472	Columbus-NVJsdIyda1_F0nHG.mp4	a peaceful woman stands still holding a sign, quite a distance from police, as another man holds his bike in front of her to shield her
59	51	New York City	NY	https://twitter.com/greg_doucette/status/1267122975830151169	NewYorkCity-0MfdOWB6IknxBt3d.mp4	NYPD officer (white shirt, higher rank of some sort) pushes a barricade into protestors, eventually knocks it over because he's a moron, then climbs over it so he can rush into the crowd to beat an unarmed woman
60	52	Sacramento	CA	https://twitter.com/chadloder/status/1267029301389492224	Sacramento-QRf7iqZ444kfTlOt.mp4	police shoot out a young black boy's eye for sport
61	53	Louisville	KY	https://twitter.com/i/status/1267029301389492224	Louisville-fGVKKx46JCfIFURX.mp4	forgot to add this one in earlier. Police loot medical supplies, destroys others, as cops push protestors back to stop them from recording This violates the Fifth and Fourteenth Amendments to the Constitution btw
62	54	Atlanta	GA	https://twitter.com/greg_doucette/status/1267160179923136518	Atlanta-qFkakjfPsAwZ56f7.mp4	Destroying a young black guy's car and then repeatedly assaulting both occupants (reported to be two local college students trying to get home)
63	55	San Antonio	TX	https://twitter.com/greg_doucette/status/1267153847824285697	SanAntonio-j50m3-w8InZO2h-j.mp4	police walking up to shoot a peaceful unarmed protestor in the arm at close range so he'll stop recording Then shooting him a second time in the leg
64	56	Denver	CO	https://twitter.com/greg_doucette/status/1267153291638685702	Denver-9htuwEQqqRKea-H1.mp4	police – leaving – do a parting goodbye shot with a pepperball to stop an unarmed protestor from recording
65	57	Manassas	VA	https://twitter.com/tristanshields/status/1266994214878932993	[can't download]	Virginia State Police assault an elected member of the state's House of Delegates – the legislative branch responsible for exercising oversight over Executive agencies like the Virginia State Police
66	58	Fort Wayne	IN	https://twitter.com/greg_doucette/status/1267201852216573952	FortWayne-EZYBXDBWoAMlTKs.jpeg	police shoot a tear gas canister at a man's face, blowing out his eye and blinding him
67	59	Denver	CO	https://twitter.com/greg_doucette/status/1267204196614524929	Denver-ZtyFNdDa3BC7fE2P.mp4	non-protestors stuck in traffic get hit by a stray shot from police. The driver gets out, yells at police that there's a pregnant woman in the passenger seat... ...so a bunch of police repeatedly shoot the car
68	60	Richmond	VA	https://twitter.com/greg_doucette/status/1267205811849355264	[can't download, FB]	Police fire pepper-spray into a man's 2nd floor apartment to stop him from recording them
69	60a	Richmond	VA	https://twitter.com/CWillis_Worm/status/1267209188968669188	Richmond-mWusalzOMmtJyd6V.mp4	Very short version that catches them pepper spraying a group of random girls for sport before spraying Mikhail
70	61	Austin	TX	https://twitter.com/greg_doucette/status/12672278539948032011	Austin-ejiU9-mr7rB0or-K.mp4	police shoot an unarmed pregnant woman, rush over to where she's receiving medical attention – then, after they remove her, start shooting all the other unarmed protestors
71	62	Charleston	SC	https://twitter.com/greg_doucette/status/1267228530368229376	Charleston-5GxyX559JFiDl3pj.mp4	Armored Personnel Carrier plows into a woman's car in the intersection downtown
72	63	San Diego	CA	https://twitter.com/SaudiaSakari/status/1267134500087062528	SanDiego-SwX00xyiNfRyf3lQ.mp4	Police shoot an unarmed protestor between the eyes
73	64	Minneapolis	MN	https://twitter.com/val_ebertz/status/1266975058230235137	Minneapolis-gm7oWEenfH1uTSG7.mp4	in the tweet above this one, a reporter notes that all of the tires for all the cars in a parking lot have been slashed. Turns out protestors caught the Minneapolis PD and National Guard on camera doing the slashing
74	65	La Mesa	CA	https://twitter.com/greg_doucette/status/1267239890217041922	LaMesa-zm6hgQaDmewr5Oqn.mp4	police casually start throwing flash-bangs and open fire on unarmed protestors standing still with their hands raised
75	66	Las Vegas	NV	https://twitter.com/greg_doucette/status/1267257550409523205	LasVegas-h9ORowWtE0gCz-2N.mp4	"police arrest one guy minding his own business walking across the street And then, to the unarmed non-protestor filming, point and say ""You're next! You're next!"""
76	67	Cincinnati	OH	https://twitter.com/P0kes/status/1267230163521191936	Cincinnati-EZYbHXOXkAEoFCa.jpeg	police give notice that citizens are living in occupied territory, taking down the American flag outside the Justice Center and replacing it with their own
77	68	Fort Lauderdale	FL	https://twitter.com/greg_doucette/status/1267260305786183680	FortLauderdale-EQYpxFdL8GVbmA4V.mp4	police officer hits an unarmed black woman in the head as she's on her knees on the ground
78	69	Long Beach	CA	https://twitter.com/greg_doucette/status/1267274077007478784	LongBeachCA.png	police intentionally shoot a reporter in the throat
79	70	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267277826354556928	LosAngeles-4laon-tExWPs_VoU.mp4	LAPD officer quickly drives his SUV into a crowd near Pershing Square, hitting what looks like two protestors, then throws it in reverse and speeds away
80	71	New York City	NY	https://twitter.com/greg_doucette/status/1267279077095944200	NewYork-CxqXk_TlA3sNmQz2.mp4	army of NYPD officers rush and attack literally everyone
81	71a	New York City	NY	https://twitter.com/ShutUpAndrosky/status/1267222613350219777	NewYork-63eI-A1GLzTOBbkt.mp4	street-level view of #71
82	72	Grand Rapids	MI	https://twitter.com/greg_doucette/status/1267279781340512259	GrandRapids-C0kQyUsNyoiKcj1p.mp4	riot cops advance on crowd of unarmed protestors
83	72a	Grand Rapids	MI	https://twitter.com/greg_doucette/status/1267280154843320321	GrandRapids-IwDByfndSwDP4n37.mp4	another view of 72 - Notice no officers wearing bodycams, and badge numbers are covered so no one can be identified
84	73	Grand Rapids	MI	https://twitter.com/greg_doucette/status/1267281344649932806	GrandRapids-wU5CmzqQa6JE6Rru.mp4	man yells at police from a distance, a police officer walks up and pepper sprays him... ...then another officer shoots him directly in the face with a teargas canister
85	74	Minneapolis	MN	https://twitter.com/greg_doucette/status/1267283198163255297	Minneapolis-IOYWpoN-YSW-F7K-.mp4	police responding to a medical emergency – a tanker truck deliberately running over protestors – nonetheless stop to casually pepper-spray folks from the comfort of their SUVs
86	75	Murfreesboro	TN	https://twitter.com/greg_doucette/status/1267289221997436930	Murfreesboro-mqubKpEAY8aJXe3u.mp4	Officers throw tear gas and a flashbang to disperses crowd near the MTSU sign. All of these protestors did was yell. We watched the whole scene play out. Just a bunch of yelling before the tear gas and flashbang were deployed.
87	76	Raleigh	NC	https://twitter.com/greg_doucette/status/1267295157885505537	Raleigh-pSY4QLxYuy3qOsK0.mp4	police shoot a protestor in the back as he's walking away, and then tackle him to the ground
88	76a	Raleigh	NC	https://twitter.com/greg_doucette/status/1267836827328819200	Raleign-dxWcxZfIcs_EAHSR.mp4	Another angle on 76 above in Raleigh, where you can see the guy they repeatedly shot was unarmed with his hands out
89	77	Fredericksburg	VA	https://twitter.com/greg_doucette/status/1267297607782731777	Fredericksburg-02WKis8n_ThvfxYD.mp4	police escalate and fire tear gas into a peaceful protest
90	78	Charleston	SC	https://twitter.com/greg_doucette/status/1267423284179742721	Charleston-7mzn_GWT-MpvMuWz.mp4	peaceful protestor, kneeling, talks at length to a phalanx of riot cops... ...so they arrest him
91	79	Minneapolis	MN	https://twitter.com/greg_doucette/status/1267423815954563073	Minneapolis-Bnw_MnJtFY1OUhOM.mp4	"police deliberately shoot at a German news crew, live on-air Notice the ""PRESS"" in all-caps on both sides of the reporter's vest"
92	80	Kansas City	KS	https://twitter.com/greg_doucette/status/1267424917731115015	KansasCity-GYuPNr0PuSM5yA_J.mp4	a man is talking to a line of cops at length and from a distance So police approach, pepper-spray him, and arrest him
93	81	El Paso	TX	https://twitter.com/greg_doucette/status/1267430869154902019	ElPaso-hllCJEFQ7HZ-ZQvI.mp4	police fire teargas and bullets into peaceful crowd of unarmed protestors
94	82	New York City	NY	https://twitter.com/greg_doucette/status/1267431769609035776	NewYorkCity-oU_gIkkMrhUCqF_x.mp4	officer pulls out his service pistol and starts brandishing it at assorted protestors for sport
95	83	Boston	MA	https://twitter.com/greg_doucette/status/1267432145477349377	https://youtu.be/QjYJMmShTp0	police... seem to be bashing out the windshield of their own patrol car?
96	84	San Francisco	CA	https://twitter.com/greg_doucette/status/1267433654101434371	SanFrancisco-w-xRhNv3r2NuJyv0.mp4	man in light-colored jacket backs away from a police vehicle onto the sidewalk, pulls out his mobile phone to record... ...and is shoved by a police officer back into the path of the vehicle
97	85	Jacksonville	FL	https://twitter.com/greg_doucette/status/1267436527686242304	Jacksonville-TpX-zc1zl6Q6JTn1.mp4	on the right side of the screen, looks like a protestor just milling about gets tackled from behind and arrested
98	86	Richmond	VA	https://twitter.com/greg_doucette/status/1267437919779852289	NA	no video, just police deliberately targeting badged journalists so they'll stop reporting
99	87	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267438562254913536	LosAngeles-M54GNWzvvUJU9p3s.mp4	LAPD shoots a man *in his own apartment* recording from his upstairs balcony
100	88	Seattle	WA	https://twitter.com/greg_doucette/status/1267441466504331264	Seattle-gBzWtxl19g3e99nf.mp4	SPD bike cop crashes into the back of a peaceful unarmed marcher, so other police swarm to arrest the marcher for some reason
101	89	Seattle	WA	https://twitter.com/greg_doucette/status/1267441763184267264	Seattle-TqQP0gDFj3L4oVme.mp4	"same technique as 88 above – bike cop deliberately tries to ""pass"" where there's clearly not enough room, so he can then make contact and put a protestor into a headlock"
102	90	Seattle	WA	https://twitter.com/greg_doucette/status/1267442263648620544	Seattle-4jq_xEY1ZkmA30Xr.mp4	as protestors shout about the guy getting arrested after a bike cop deliberately crashed in to him, SPD starts indiscriminately firing tear gas into the crowd
103	91	Seattle	WA	https://twitter.com/greg_doucette/status/1267443205659938821	Seattle-UZ86_DjmKX1PPEon.mp4	"police form a line to force protestors into a tight group against a wall (""kettling""), so they can then repeatedly pepper-spray them without anyone being able to leave"
104	92	Richmond	VA	https://twitter.com/greg_doucette/status/1267443719860518917	Richmond-GaQJpt9ogWrKlSRS.mp4	officers swarm a car with guns drawn when a woman steps out She's a reporter so they let her continue, but this conduct is wholly unacceptable for regular people too
105	93	Richmond	VA	https://twitter.com/greg_doucette/status/1267444524965642246	Richmond-HXHk1oy56EeLEMHz.mp4	police on the hunt with rifles, briefly pointing one at the woman recording
106	94	Columbus	OH	https://twitter.com/greg_doucette/status/1267445528599695360	Columbus-EZZK9zRWoAMm0p8.jpeg	"police posing for the Gram, to show everyone what brave big-commando warrior peace servants they are. ""What do you do after tear gassing peaceful protesters 2.5 hours before curfew? You take a group pic for the gram."""
